Chrom	Start	End	U50(w<0.01,y=(=1.0,=0.0))	Q95(w<0.01,y=(=1.0,=0.0))	Overlapping Candidate
1	800001	840000	0	0.0	NA
1	840001	880000	0	0.0	NA
1	880001	920000	0	0.0	NA
1	920001	960000	0	0.0	NA
1	960001	1000000	0	0.0	NA
1	1000001	1040000	0	0.0	NA
1	1040001	1080000	0	0.0	NA
1	1080001	1120000	0	0.0311630218687872	NA
1	1120001	1160000	0	0.0009940357852882	NA
1	1320001	1360000	0	0.0	NA
1	1360001	1400000	0	0.0	NA
1	1480001	1520000	0	0.0	NA
1	1760001	1800000	0	0.0	NA
1	1840001	1880000	0	0.0	NA
1	1880001	1920000	0	0.0	NA
1	1920001	1960000	0	0.0	NA
1	1960001	2000000	0	0.0019383697813121	NA
1	2160001	2200000	0	0.0	NA
1	2200001	2240000	0	0.0	NA
1	2240001	2280000	0	0.0	NA
1	2280001	2320000	0	0.0	NA
1	2320001	2360000	0	0.0059642147117296	NA
1	2360001	2400000	0	0.0	NA
1	2400001	2440000	0	0.0139165009940357	NA
1	2440001	2480000	0	0.0098906560636182	NA
1	2480001	2520000	0	0.0208747514910536	NA
1	2520001	2560000	0	0.0207256461232604	NA
1	2560001	2600000	0	0.0198807157057654	NA
1	2680001	2720000	0	0.0198807157057654	NA
1	2720001	2760000	0	0.0170974155069582	NA
1	2960001	3000000	0	0.1520874751491053	NA
1	3000001	3040000	0	0.0	NA
1	3040001	3080000	0	0.0509940357852882	NA
1	3280001	3320000	0	0.0109343936381709	NA
1	3320001	3360000	0	0.0118290258449304	NA
1	3440001	3480000	0	0.003976143141153	NA
1	3520001	3560000	0	0.0178926441351888	NA
1	3680001	3720000	0	0.0276341948310139	NA
1	4040001	4080000	0	0.0018886679920477	NA
1	4080001	4120000	0	0.0009443339960238	NA
1	4560001	4600000	0	0.1734592445328031	NA
1	4800001	4840000	0	0.0009940357852882	NA
1	4840001	4880000	0	0.0049701789264413	NA
1	4880001	4920000	0	0.0	NA
1	4920001	4960000	0	0.0	NA
1	4960001	5000000	0	0.0377733598409542	NA
1	5000001	5040000	0	0.0009940357852882	NA
1	5040001	5080000	0	0.0049701789264413	NA
1	5320001	5360000	0	0.0	NA
1	5400001	5440000	0	0.0	NA
1	5440001	5480000	0	0.0009940357852882	NA
1	5520001	5560000	0	0.0	NA
1	5560001	5600000	0	0.0	NA
1	5600001	5640000	0	0.0685884691848906	NA
1	5640001	5680000	0	0.0059642147117296	NA
1	5680001	5720000	0	0.0318091451292246	NA
1	5760001	5800000	0	0.0	NA
1	5800001	5840000	0	0.0	NA
1	5880001	5920000	0	0.0	NA
1	6120001	6160000	0	0.0	NA
1	6200001	6240000	0	0.0	NA
1	6280001	6320000	0	0.0	NA
1	6320001	6360000	0	0.0	NA
1	6360001	6400000	0	0.0	NA
1	6400001	6440000	0	0.0	NA
1	6640001	6680000	0	0.0	NA
1	6880001	6920000	0	0.0009940357852882	NA
1	6960001	7000000	0	0.0	NA
1	7000001	7040000	0	0.0	NA
1	7040001	7080000	0	0.0	NA
1	7080001	7120000	0	0.0089463220675944	NA
1	7240001	7280000	0	0.0	NA
1	7280001	7320000	0	0.0	NA
1	7320001	7360000	0	0.0	NA
1	7360001	7400000	0	0.0	NA
1	7400001	7440000	0	0.000844930417495	NA
1	7440001	7480000	0	0.0	NA
1	7480001	7520000	0	0.0	NA
1	7520001	7560000	0	0.0	NA
1	7560001	7600000	0	0.0006958250497017	NA
1	7600001	7640000	0	0.0	NA
1	7640001	7680000	0	0.0007455268389662	NA
1	7680001	7720000	0	0.0	NA
1	7720001	7760000	0	0.0	NA
1	7800001	7840000	0	0.0	NA
1	7960001	8000000	0	0.003976143141153	NA
1	8040001	8080000	0	0.0	NA
1	8200001	8240000	0	0.0	NA
1	8280001	8320000	0	0.0	NA
1	8320001	8360000	0	0.0009940357852882	NA
1	8360001	8400000	0	0.0	NA
1	8440001	8480000	0	0.0	NA
1	9200001	9240000	0	0.0	NA
1	9320001	9360000	0	0.0	NA
1	9360001	9400000	0	0.0219681908548707	NA
1	9400001	9440000	0	0.0	NA
1	9440001	9480000	0	0.0008946322067594	NA
1	9480001	9520000	0	0.0	NA
1	9680001	9720000	0	0.0019880715705765	NA
1	9920001	9960000	0	0.0	NA
1	9960001	10000000	0	0.0208747514910536	NA
1	10000001	10040000	0	0.0238568588469184	NA
1	10040001	10080000	0	0.0248508946322067	NA
1	10080001	10120000	0	0.0228628230616302	NA
1	10120001	10160000	0	0.0228628230616302	NA
1	10160001	10200000	0	0.0218687872763419	NA
1	10200001	10240000	0	0.0218687872763419	NA
1	10240001	10280000	0	0.0216202783300198	NA
1	10280001	10320000	0	0.0236580516898608	NA
1	10320001	10360000	0	0.0217196819085487	NA
1	10360001	10400000	0	0.0246520874751491	NA
1	10400001	10440000	0	0.0248508946322067	NA
1	10440001	10480000	0	0.0248508946322067	NA
1	10480001	10520000	0	0.0	NA
1	10640001	10680000	0	0.0	NA
1	10680001	10720000	0	0.0	NA
1	10760001	10800000	0	0.0	NA
1	10800001	10840000	0	0.0254473161033797	NA
1	10840001	10880000	0	0.0375745526838966	NA
1	10880001	10920000	0	0.0445825049701789	NA
1	10960001	11000000	0	0.0	NA
1	11080001	11120000	0	0.0	NA
1	11120001	11160000	0	0.0	NA
1	11160001	11200000	0	0.0	NA
1	11200001	11240000	0	0.0	NA
1	11240001	11280000	0	0.0	NA
1	11320001	11360000	0	0.0	NA
1	11360001	11400000	0	0.0	NA
1	11400001	11440000	0	0.0009940357852882	NA
1	11440001	11480000	0	0.0019880715705765	NA
1	11480001	11520000	0	0.0019880715705765	NA
1	11560001	11600000	0	0.0	NA
1	11680001	11720000	0	0.0	NA
1	11720001	11760000	0	0.0	NA
1	11800001	11840000	0	0.0	NA
1	11840001	11880000	0	0.0397614314115308	NA
1	11880001	11920000	0	0.1019880715705765	NA
1	11920001	11960000	0	0.0477137176938369	NA
1	12120001	12160000	0	0.0	NA
1	12160001	12200000	0	0.0506958250497017	NA
1	12200001	12240000	0	0.0408548707753479	NA
1	12240001	12280000	0	0.0268389662027833	NA
1	12280001	12320000	0	0.011779324055666	NA
1	12320001	12360000	0	0.0109343936381709	NA
1	12360001	12400000	0	0.0116302186878727	NA
1	12400001	12440000	0	0.0109343936381709	NA
1	12440001	12480000	0	0.0109343936381709	NA
1	12480001	12520000	0	0.0109343936381709	NA
1	12520001	12560000	0	0.0109343936381709	NA
1	12560001	12600000	0	0.0168986083499005	NA
1	12600001	12640000	0	0.0	NA
1	12680001	12720000	0	0.0037773359840954	NA
1	12720001	12760000	0	0.0	NA
1	12760001	12800000	0	0.0	NA
1	13760001	13800000	0	0.0	NA
1	14040001	14080000	0	0.0208747514910536	NA
1	14120001	14160000	0	0.0208747514910536	NA
1	14400001	14440000	0	0.2335984095427435	NA
1	14440001	14480000	0	0.0079522862823061	NA
1	14480001	14520000	0	0.0584493041749502	NA
1	14640001	14680000	0	0.0	NA
